#
#                        VT100 Escape Codes
#        symbology:
#        ^[       = escape character (ascii 27 decimal)
#        <v>         = single or double digit number.  Vertical coordinate
#        <h>         = single or double digit number.  Horizontal coordinate
#        <n>         = single or double digit number.  Number of chars/lines
#        others   = single characters just as they appear.
#
# NOTE: Many sequences have "^[[" which is two chars: "escape" and "[".
#

Name                  Description                            Esc Code
testpu DECTST         Confidence power up test               ^[[2;1y
testlb DECTST         Confidence loopback test               ^[[2;2y
testpurep DECTST      Repeat power up test                   ^[[2;9y
testlbrep DECTST      Repeat loopback test                   ^[[2;10y

ledsoff DECLL0        Turn off all four leds                 ^[[0q
led1 DECLL1           Turn on LED #1                         ^[[1q
led2 DECLL2           Turn on LED #2                         ^[[2q
led3 DECLL3           Turn on LED #3                         ^[[3q
led4 DECLL4           Turn on LED #4                         ^[[4q

#
#  All codes below are for use in VT52 compatibility mode.
#

setansi               Enter/exit ANSI mode (VT52)            ^[<

altkeypad             Enter alternate keypad mode            ^[=
numkeypad             Exit alternate keypad mode             ^[>

setgr                 Use special graphics character set     ^[F
resetgr               Use normal US/UK character set         ^[G

cursorup              Move cursor up one line                ^[A
cursordn              Move cursor down one line              ^[B
cursorrt              Move cursor right one char             ^[C
cursorlf              Move cursor left one char              ^[D
cursorhome            Move cursor to upper left corner       ^[H
cursorpos(v,h)        Move cursor to v,h location            ^[<v><h>
revindex              Generate a reverse line-feed           ^[I

cleareol              Erase to end of current line           ^[K
cleareos              Erase to end of screen                 ^[J

ident                 Identify what the terminal is          ^[Z
identresp             Correct response to ident              ^[/Z

#=======================================================================

#
# VT100 Special Key Codes
#
# These are sent from the terminal back to the computer when the
# particular key is pressed.  Note that the numeric keypad keys
# send different codes in numeric mode than in alternate mode.
# See escape codes above to change keypad mode.
#

# Function Keys:

PF1                ^[OP
PF2                ^[OQ
PF3                ^[OR
PF4                ^[OS


# Arrow Keys:
                Reset         Set
                -----         ---
up               ^[A         ^[OA
down             ^[B         ^[OB
right            ^[C         ^[OC
left             ^[D         ^[OD


# Numeric Keypad Keys:

                Keypad Mode
                -----------------
Keypad Key        Numeric        Alternate
----------        -------        ---------
0                0        ^[Op
1                1        ^[Oq
2                2        ^[Or
3                3        ^[Os
4                4        ^[Ot
5                5        ^[Ou
6                6        ^[Ov
7                7        ^[Ow
8                8        ^[Ox
9                9        ^[Oy
- (minus)        -        ^[Om
, (comma)        ,        ^[Ol
. (period)       .        ^[On
ENTER           ^M        ^[OM

Esc[20h   Set new line mode   LMN
Esc[?1h   Set cursor key to application   DECCKM
none  Set ANSI (versus VT52)  DECANM
Esc[?3h   Set number of columns to 132  DECCOLM
Esc[?4h   Set smooth scrolling  DECSCLM
Esc[?5h   Set reverse video on screen   DECSCNM
Esc[?6h   Set origin to relative  DECOM
Esc[?7h   Set auto-wrap mode  DECAWM
Esc[?8h   Set auto-repeat mode  DECARM
Esc[?9h   Set interlacing mode  DECINLM

Esc[20l   Set line feed mode  LMN
Esc[?1l   Set cursor key to cursor  DECCKM
Esc[?2l   Set VT52 (versus ANSI)  DECANM
Esc[?3l   Set number of columns to 80   DECCOLM
Esc[?4l   Set jump scrolling  DECSCLM
Esc[?5l   Set normal video on screen  DECSCNM
Esc[?6l   Set origin to absolute  DECOM
Esc[?7l   Reset auto-wrap mode  DECAWM
Esc[?8l   Reset auto-repeat mode  DECARM
Esc[?9l   Reset interlacing mode  DECINLM

Esc=  Set alternate keypad mode   DECKPAM
Esc>  Set numeric keypad mode   DECKPNM

Esc(A   Set United Kingdom G0 character set   setukg0
Esc)A   Set United Kingdom G1 character set   setukg1
Esc(B   Set United States G0 character set  setusg0
Esc)B   Set United States G1 character set  setusg1
Esc(0   Set G0 special chars. & line set  setspecg0
Esc)0   Set G1 special chars. & line set  setspecg1
Esc(1   Set G0 alternate character ROM  setaltg0
Esc)1   Set G1 alternate character ROM  setaltg1
Esc(2   Set G0 alt char ROM and spec. graphics  setaltspecg0
Esc)2   Set G1 alt char ROM and spec. graphics  setaltspecg1

EscN  Set single shift 2  SS2
EscO  Set single shift 3  SS3

Esc[m   Turn off character attributes   SGR0
Esc[0m  Turn off character attributes   SGR0
Esc[1m  Turn bold mode on   SGR1
Esc[2m  Turn low intensity mode on  SGR2
Esc[4m  Turn underline mode on  SGR4
Esc[5m  Turn blinking mode on   SGR5
Esc[7m  Turn reverse video on   SGR7
Esc[8m  Turn invisible text mode on   SGR8

Esc[Line;Liner  Set top and bottom lines of a window  DECSTBM

Esc[ValueA  Move cursor up n lines  CUU
Esc[ValueB  Move cursor down n lines  CUD
Esc[ValueC  Move cursor right n lines   CUF
Esc[ValueD  Move cursor left n lines  CUB
Esc[H   Move cursor to upper left corner  cursorhome
Esc[;H  Move cursor to upper left corner  cursorhome
Esc[Line;ColumnH  Move cursor to screen location v,h  CUP
Esc[f   Move cursor to upper left corner  hvhome
Esc[;f  Move cursor to upper left corner  hvhome
Esc[Line;Columnf  Move cursor to screen location v,h  CUP
EscD  Move/scroll window up one line  IND
EscM  Move/scroll window down one line  RI
EscE  Move to next line   NEL
Esc7  Save cursor position and attributes   DECSC
Esc8  Restore cursor position and attributes  DECSC

EscH  Set a tab at the current column   HTS
Esc[g   Clear a tab at the current column   TBC
Esc[0g  Clear a tab at the current column   TBC
Esc[3g  Clear all tabs  TBC

Esc#3   Double-height letters, top half   DECDHL
Esc#4   Double-height letters, bottom half  DECDHL
Esc#5   Single width, single height letters   DECSWL
Esc#6   Double width, single height letters   DECDWL

Esc[K   Clear line from cursor right  EL0
Esc[0K  Clear line from cursor right  EL0
Esc[1K  Clear line from cursor left   EL1
Esc[2K  Clear entire line   EL2

Esc[J   Clear screen from cursor down   ED0
Esc[0J  Clear screen from cursor down   ED0
Esc[1J  Clear screen from cursor up   ED1
Esc[2J  Clear entire screen   ED2

Esc5n   Device status report  DSR
Esc0n   Response: terminal is OK  DSR
Esc3n   Response: terminal is not OK  DSR

Esc6n   Get cursor position   DSR
EscLine;ColumnR   Response: cursor is at v,h  CPR

Esc[c   Identify what terminal type   DA
Esc[0c  Identify what terminal type (another)   DA
Esc[?1;Value0c  Response: terminal type code n  DA

Escc  Reset terminal to initial state   RIS

Esc#8   Screen alignment display  DECALN
Esc[2;1y  Confidence power up test  DECTST
Esc[2;2y  Confidence loopback test  DECTST
Esc[2;9y  Repeat power up test  DECTST
Esc[2;10y   Repeat loopback test  DECTST

Esc[0q  Turn off all four leds  DECLL0
Esc[1q  Turn on LED #1  DECLL1
Esc[2q  Turn on LED #2  DECLL2
Esc[3q  Turn on LED #3  DECLL3
Esc[4q  Turn on LED #4  DECLL4

Escape Sequence   Meaning
\n  newline (0x0a)
\s  space (0x20)
\r  carriage return (0x0d)
\t  tab (0x09)
\v  vertical tab (0x0b)
\f  formfeed (0x0c)
\b  backspace (0x08)
\a  bell/alert (0x07)
\e  escape (0x1b)
\nnn  character with octal value nnn
\xnn  character with hexadecimal value nn
\unnnn  Unicode code point U+nnnn (Ruby 1.9 and later)
\cx   control-x
\C-x  control-x
\M-x  meta-x
\M-\C-x   meta-control-x
\x  character x itself (\" a single quote, for example)


# The Color Code:     <ESC>[{attr};{fg};{bg}m

I'll explain the escape sequence to produce colors. The sequence to be printed or echoed to the terminal is

# <ESC>[{attr};{fg};{bg}m

The first character is ESC which has to be printed by pressing CTRL+V and then ESC on the Linux console or in xterm, konsole, kvt, etc. ("CTRL+V ESC" is also the way to embed an escape character in a document in vim.) Then {attr}, {fg}, {bg} have to be replaced with the correct value to get the corresponding effect. attr is the attribute like blinking or underlined etc.. fg and bg are foreground and background colors respectively. You don't have to put braces around the number. Just writing the number will suffice.

{attr} is one of following

# 0 Reset All Attributes (return to normal mode)
# 1 Bright (Usually turns on BOLD)
# 2   Dim
# 3 Underline
# 5 Blink
# 7   Reverse
# 8 Hidden

{fg} is one of the following

# 30  Black
# 31  Red
# 32  Green
# 33  Yellow
# 34  Blue
# 35  Magenta
# 36  Cyan
# 37  White

{bg} is one of the following

# 40  Black
# 41  Red
# 42  Green
# 43  Yellow
# 44  Blue
# 45  Magenta
# 46  Cyan
# 47  White

So to get a blinking line with Blue foreground and Green background, the combination to be used should be

echo "^[[5;34;42mIn color"

which actually is very ugly. :-) Revert back with

echo "^[0;37;40m"

256 colors
Set the foreground color to index N:   \033[38;5;${N}m
Set the background color to index M:   \033[48;5;${M}m

